
26-09-14 20:05:31 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:05:34 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:05:39 [-] [INFO] migrated: the game database, then on their own: archive, messagebus
26-09-14 20:10:18 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:10:21 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:10:25 [-] [INFO] migrated: the game database, then on their own: archive, messagebus
26-09-14 20:11:13 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:11:16 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:11:21 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:11:23 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:11:24 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:11:26 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:11:28 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:11:30 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:11:49 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:11:52 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:12:51 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:12:54 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:12:55 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:12:56 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
26-09-14 20:25:27 [-] [INFO] configured aliases: archive (own database), messagebus (own database)
26-09-14 20:25:30 [-] [INFO] boot check passed: 2 spec(s) declared, every alias in DATABASES
