
26-09-14 20:05:35 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:10:22 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:11:17 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:11:24 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:11:27 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:11:31 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:11:53 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:12:55 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:12:58 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
26-09-14 20:25:31 [-] [INFO] started as 'shard' on instance 'shard1'. Shards: ('shard0', 'shard1'). Router: 'router'.
